Time	Drift_x	Drift_y
0.87	-2.007648183556405e-06	-3.7093690248565962e-06
0.88	-6.864244741873804e-06	-3.288718929254302e-06
0.89	-5.4110898661567875e-06	-1.05736137667304e-05
0.9	1.6462715105162524e-06	-1.7093690248565966e-06
0.91	1.8279158699808794e-06	-3.881453154875716e-06
0.92	-5.640535372848948e-07	-1.554493307839388e-05
0.93	2.8871892925430207e-06	9.617590822179732e-09
0.94	4.493307839388144e-06	8.604206500956023e-06
0.95	1.9885277246653917e-06	-7.170172084130018e-06
0.96	6.883365200764817e-07	-8.718929254302101e-06
0.97	-1.6845124282982792e-06	-7.782026768642447e-06
0.98	-4.302103250478012e-06	-2.2753346080305927e-05
0.99	-1.7552581261950286e-06	-1.6864244741873804e-05
1.0	-7.934990439770554e-07	-3.288718929254302e-06
